,id,name,lat,lng,checkinsCount,tipCount,usersCount
81673,510013e1e4b08dc4f7ff17a3,Azerbaijan Embassy,51.50219611009336,-0.18677525376140613,12,0,11
81676,4e2692afb61ce3fb054fbdc7,Ballista Media,51.5022325,-0.1858154,1,0,1
81682,51dad268498eb3b00e9011ca,Chesterton Humberts,51.50223129985644,-0.1861138572837907,2,0,1
81684,50a63ea3e4b084fe42a32ce3,Maykenbel International,51.502227,-0.186211,1,0,1
81685,524a9fd2498e5aa6ba890f79,Fraser Suite Prince of Wales Terrace,51.502011,-0.185978,14,0,4
81686,4ac518d8f964a5208ca820e3,Zaika,51.50235646011494,-0.18758533229205368,358,12,314
81689,4d57f15ae319a1cd2d7c0a34,Minjiang,51.50212858283243,-0.18622623577865327,15,1,13
81714,51ebd44f498e65a37f5b117b,Tfl Bus 70,51.50218822532315,-0.18738369716896328,2,0,2
81742,4c82ce1174d7b60cd35384d8,Seraphine Hotel,51.50227984421607,-0.1879809845836023,97,0,50
81745,4cb25383dd619c7463dde490,AAA Live Music,51.502290090295304,-0.18819793399566961,24,2,23
81746,52d6b7f8498ef39f48f03cc7,TFL Bus Stop M,51.502572,-0.188293,1,0,1
81747,4f12d612e4b04b3f04b84765,Bertie's bar,51.502561418375905,-0.18842225670900953,49,0,33
81748,522f54be11d2f4673a002f2b,Best Western Seraphine Kensington Gardens,51.502082,-0.187996,5,0,3
81755,4bd491d5cfa7b713aa5b24da,Prezzo,51.50227817500001,-0.188895,240,12,195
81767,4f6cc58be4b0725b6086b35f,Rossotrudnichestvo (Russian cultural office),51.50233809835633,-0.18924021591287946,20,1,14
81774,4b4c6b5ff964a520aeb226e3,Israeli Embassy,51.502591990902395,-0.18890054704878922,72,1,39
81775,4b868ad7f964a520c18e31e3,Diesel,51.50249181873096,-0.18938541412353516,58,0,43
81776,4c3b1f5fd94dc9b6453effe7,Atlantic Records,51.502068,-0.188561,106,1,53
81784,4b9bd443f964a520602a36e3,American Apparel,51.502236,-0.189837,191,1,124
81788,4c5d32889b28d13a1def5870,Maplin Electronics,51.50223508244882,-0.18960432661740148,155,2,85
81802,4b3e16c0f964a520479825e3,UNIQLO,51.50219796412196,-0.19028663635253906,399,6,284
81803,4b05ad4cf964a520d4e022e3,My Old Dutch,51.502732243819835,-0.19118785858154297,836,19,647
81809,4bd5835929eb9c74ed5d93e1,Pizza Hut,51.50213511649894,-0.1911007287263653,456,3,337
81818,4adc7c97f964a5209e2c21e3,Starbucks,51.50323980373086,-0.19123077392578125,1292,4,573
81819,4d4eccc14f67224b30716650,Costa Coffee,51.50300312028463,-0.19148087172016592,684,10,305
81822,52d52a6d11d23343fd79e153,Dirty Bones,51.502520398289974,-0.19145520502488825,16,1,15
81825,4b5b46c2f964a520b0f028e3,Maggie Jones's,51.502884,-0.1912849,506,23,421
81826,50019e3be4b042c51c5fa84f,Carphone Warehouse,51.502064378380226,-0.1911625814721498,26,0,23
81832,4b655f6bf964a520c2ee2ae3,Café Rouge,51.50316258537062,-0.19115532026189633,593,8,389
81841,50bf94bbe4b05aeb84f06b74,St Mary Abbotts Church,51.502284,-0.191897,30,0,19
81860,4be3dce02ff376b07b664fed,Warner Music International,51.50317301985501,-0.19150972366333008,425,2,183
81862,4b2a1271f964a52015a524e3,St Mary Abbots Church,51.50211448235332,-0.19134342670440674,280,2,184
81866,4d9deeb7c99fb60cdd60d28b,Mulberry Head Office,51.50364956562219,-0.1916471320509205,119,0,58
81867,4ac518bef964a520f2a220e3,Elephant & Castle,51.50294595394508,-0.19350528717041016,665,14,405
81869,4bb768ccef159c745c2377f7,SoleTrader,51.50176051795551,-0.191611647605896,48,2,33
81875,4bd056669854d13a8079f74d,St Mary Abbots Gardens,51.502057,-0.192566,167,3,58
81892,4e454524aeb70e74f483ab74,Jaguar,51.502336948157826,-0.19377234986969177,9,0,3
81893,50b60d98e4b03e94386cb0ca,Kensington Church Walk,51.50216938888954,-0.19311569276251253,8,0,4
81896,4ac518e0f964a5201aaa20e3,Randa Restaurant,51.503309652033096,-0.1916616625164608,166,13,121
81897,4ac518e1f964a5205caa20e3,The Terrace Restaurant,51.50288595608998,-0.19387763274614592,13,3,12
81899,4ac518f5f964a52015af20e3,Toni & Guy,51.50316228642711,-0.19167104382887717,155,1,46
81904,4dd8bdc7b0fb8af380a77684,Capital Wharf,51.50377269705426,-0.06424827977814253,1097,1,53
81905,4b3cc117f964a520d98625e3,Waitrose,51.50702295047727,-0.06750047206878662,3306,12,568
81915,4c85e1b074d7b60c3f719fd8,News UK,51.50703296721856,-0.0675058364868164,1253,2,272
81916,4add6917f964a520f76421e3,NTT Europe,51.50591107850855,-0.07106781005859375,520,1,39
81923,4e74b11815209522b14c3708,M/S Hans,51.504014489537944,-0.06802082061767578,2,0,2
81925,5112e0cee4b0d32f18e6401e,Wapping High Street,51.504345315563114,-0.06687666882937542,14,0,9
81926,522c54b911d2add47a059516,Themse,51.505973648576834,-0.07285433581301529,15,0,13
81927,4d8f3b1acb9b224b52c19541,Hermitage Moorings,51.504427876965515,-0.06717968761534694,58,0,39
81969,4ac518dcf964a52029a920e3,Butlers Wharf Chop House,51.5042955636164,-0.0741286963844758,733,14,604
81976,4eaace2502d52c460af8c854,Nokia Exhibition - people made,51.503244715689405,-0.07150015472799019,9,0,9
81982,51ee3262498e8317b40b8582,The Future Is Here,51.503152,-0.071629,9,1,8
81984,4b9ccdb6f964a5205b7c36e3,Shurgard,51.50284969469572,-0.0712239313869433,4,0,2
82004,4b888460f964a520b2fd31e3,Spice Quay Heights,51.50328546648403,-0.072004825469028,4,0,4
82012,4f6ef6bae4b0f577d3558039,Atheni HQ,51.503567681999144,-0.07210876193395072,1,0,1
82013,4b924c6af964a520d0f033e3,Le Pont de la Tour Wine Merchant,51.50330566459036,-0.07254385241432243,49,0,26
82016,4f73227be4b019c941632ab3,Grazing at Design Museum,51.50282883788642,-0.07176283506850006,31,1,26
82017,4c04cfe3187ec928c480b77b,Ski Verbier,51.502861,-0.072079,3,1,2
82030,4b5d5774f964a5205a5a29e3,Starbucks,51.503907637106174,-0.0757455825805664,2676,8,1215
82042,4bf4177ce5eba593983b1f90,Cafe Kiosk,51.503266,-0.07295,16,1,5
82045,4ad46254f964a520b5e720e3,Shades Piazza,51.50397090185747,-0.07548100627093789,667,4,121
82048,4ac518edf964a520c5ac20e3,Le Pont de La Tour: Food Store,51.50374101042094,-0.07396683443531771,450,14,294
82074,4c5760c1b13695215570735a,Diva Heights,51.503106,-0.073977,7,0,1
82076,4deea35418509bef951cce3b,Londent Oral Care,51.50377407121408,-0.0753164291381836,23,1,14
82079,51363ef3e4b059c91c9047ac,Chophouse,51.50388982752282,-0.07403048065171101,20,0,20
82100,4f53e13ee4b063296e9a4364,The Vault,51.504494122028326,-0.07595989834386344,265,3,248
82104,4b1d2072f964a520130c24e3,Copper Row Barbers,51.503808,-0.07547,104,0,26
82119,4ac518d1f964a520d9a620e3,Potters Fields Park,51.50440572216699,-0.07805882456906992,3166,8,1247
82135,4e84749ecc215fc8e6fff4bb,Carnival House,51.503222,-0.075625,7,0,4
82137,518a4ce6498e8c922705c661,Direct Traffic Media,51.50325726783664,-0.0760357357554327,1,0,1
82148,4dcfd3c9183899ddfaf59612,The Queen's Walk,51.50470902423732,-0.07741928100585938,3078,8,1652
82157,4b115b12f964a520d17a23e3,Bridge Tavern,51.503241,-0.076798,34,0,30
82160,4db5a12a0cb6729b6aa93139,Faith In Style Showroom,51.50329,-0.076872,4,0,3
82161,4edbe59593ad464d2a525e56,Skate City,51.50344661996401,-0.07687345964419648,7,0,6
82165,518a4ecc498e98bcaa70943e,Broadplace Advertising Ltd,51.503265,-0.076556,1,0,1
82167,4da7003493a04785b90bcf5e,Hobs Reprographics,51.50341600177552,-0.07660386183456397,6,1,5
82177,4b460230f964a520131426e3,City Hall (Greater London Authority),51.50481587478995,-0.0787496566772461,4240,21,2425
82187,4b7015f5f964a52067062de3,Dim T,51.50508732872548,-0.07906773499180646,1051,28,872
82195,4fa91369e4b0e117740e3dc4,Caffe Fratelli,51.50450307081016,-0.07846030420529837,229,4,134
82196,52c6b5ec498e59d83cbdc1c3,"WatchGuard UK, London",51.504034,-0.079803,5,0,0
82197,51080fabe4b0daeeb96af5f3,Adams southwold,51.50317941159051,-0.07737161016166912,3,0,3
82209,4aeb3d5ef964a520ffbf21e3,Gaucho,51.505005305955514,-0.07940130762306837,1488,42,1221
82214,4bb2f8704019a593f47637b8,Norton Rose Fulbright,51.50458141037825,-0.07974295884233072,526,2,182
82215,4ac518ebf964a52034ac20e3,Unicorn Theatre,51.50407791137695,-0.080971,315,2,241
82223,4bd9a28c0115c9b6e4f77780,Breaking Trends,51.503472,-0.078874,1,0,1
82224,4ac518eaf964a52009ac20e3,The Scoop at More London,51.505092635091586,-0.07922921486774558,1276,5,683
82227,50796650e4b069ffd77d723d,Bridge Lounge & Rest,51.503445,-0.07911,2,0,1
82237,4eb334c2469073bbc531031c,Tesco Metro,51.504254163860715,-0.08188369871623681,1816,6,431
82238,4ad721b4f964a520c70821e3,More London Riverside,51.504628886158415,-0.08076667785644531,2051,7,860
82241,4d9ebd69a77d816efe48f208,PwC More London,51.50462980404535,-0.08105743324971536,2228,1,363
82243,4eb77e92991165b763431b46,Hot Bikram Yoga,51.50400782491458,-0.0818470450590339,755,4,132
82252,4da605836a23f2e804ff41e8,Bridge View Lounge,51.50322425,-0.07967095,7,0,4
82253,513d96bce4b0ef93687203ea,Harris + Hoole,51.5043054120115,-0.0819798256206743,392,11,146
82254,4c989ca24804a1431ebaec0e,Spianata & Co,51.50503482234162,-0.08111164411511924,522,2,89
82256,4b94f917f964a520ed8934e3,Pret A Manger,51.5045978727,-0.0805611510791,356,2,194
82257,4f05ad04e3002adb767756c2,Costa Coffee,51.504269409162376,-0.08166981452537217,414,4,257
82258,4e284df2d164bfc24f2114e8,Bliss Fish Spa - London SE,51.503447109994326,-0.0797234789808114,6,0,3
82259,4e830fc1be7b92ebc8b03cba,The Brigade,51.504137,-0.081306,390,12,274
82273,505c1ab219a9d3797f709254,School for Social Entrepreneurs,51.503907637106174,-0.08175373077392578,22,1,6
82276,4b48ece3f964a520ab5d26e3,Southwark Council Offices,51.50321309019227,-0.08068084716796875,342,2,66
